measure_name,state_name,im_rank,im_value,im_score,im_lower_ci,im_upper_ci
Infant Mortality - Mother Age 35-39,Kansas,,5.4,,,
Infant Mortality - Mother Age 35-39,Kentucky,,5.4,,,
Infant Mortality - Mother Age 35-39,Louisiana,,7.4,,,
Infant Mortality - Mother Age 35-39,Maine,,7.6,,,
Infant Mortality - Mother Age 35-39,Maryland,,5.8,,,
Infant Mortality - Mother Age 35-39,Massachusetts,,3.3,,,
Infant Mortality - Mother Age 35-39,Michigan,,6.7,,,
Infant Mortality - Mother Age 35-39,Minnesota,,5.5,,,
Infant Mortality - Mother Age 35-39,Mississippi,,8.6,,,
Infant Mortality - Mother Age 35-39,Missouri,,6.3,,,
Infant Mortality - Mother Age 35-39,Montana,,,,,
Infant Mortality - Mother Age 35-39,Nebraska,,6.0,,,
Infant Mortality - Mother Age 35-39,Nevada,,5.1,,,
Infant Mortality - Mother Age 35-39,New Hampshire,,,,,
Infant Mortality - Mother Age 35-39,New Jersey,,4.3,,,
Infant Mortality - Mother Age 35-39,New Mexico,,5.9,,,
Infant Mortality - Mother Age 35-39,New York,,4.0,,,
Infant Mortality - Mother Age 35-39,North Carolina,,6.8,,,
Infant Mortality - Mother Age 35-39,North Dakota,,,,,
Infant Mortality - Mother Age 35-39,Ohio,,6.4,,,
Infant Mortality - Mother Age 35-39,Oklahoma,,6.4,,,
Infant Mortality - Mother Age 35-39,Oregon,,5.2,,,
Infant Mortality - Mother Age 35-39,Pennsylvania,,5.3,,,
Infant Mortality - Mother Age 35-39,Rhode Island,,,,,
Infant Mortality - Mother Age 35-39,South Carolina,,7.0,,,
Infant Mortality - Mother Age 35-39,South Dakota,,,,,
Infant Mortality - Mother Age 35-39,Tennessee,,7.1,,,
Infant Mortality - Mother Age 35-39,Texas,,5.4,,,
Infant Mortality - Mother Age 35-39,Utah,,6.1,,,
Infant Mortality - Mother Age 35-39,Vermont,,,,,
Infant Mortality - Mother Age 35-39,Virginia,,5.6,,,
Infant Mortality - Mother Age 35-39,Washington,,3.8,,,
Infant Mortality - Mother Age 35-39,West Virginia,,,,,
Infant Mortality - Mother Age 35-39,Wisconsin,,6.0,,,
Infant Mortality - Mother Age 35-39,Wyoming,,,,,
Infant Mortality - Mother Age 35-39,United States,,5.3,,,
Infant Mortality - Mother Age 35-39,District of Columbia,,7.1,,,
Infant Mortality - Mother Age 40-44,Alabama,,,,,
Infant Mortality - Mother Age 40-44,Alaska,,,,,
Infant Mortality - Mother Age 40-44,Arizona,,8.9,,,
Infant Mortality - Mother Age 40-44,Arkansas,,,,,
Infant Mortality - Mother Age 40-44,California,,5.5,,,
Infant Mortality - Mother Age 40-44,Colorado,,,,,
Infant Mortality - Mother Age 40-44,Connecticut,,,,,
Infant Mortality - Mother Age 40-44,Delaware,,,,,
Infant Mortality - Mother Age 40-44,Florida,,8.6,,,
Infant Mortality - Mother Age 40-44,Georgia,,8.5,,,
Infant Mortality - Mother Age 40-44,Hawaii,,,,,
Infant Mortality - Mother Age 40-44,Idaho,,,,,
Infant Mortality - Mother Age 40-44,Illinois,,6.1,,,
Infant Mortality - Mother Age 40-44,Indiana,,7.9,,,
Infant Mortality - Mother Age 40-44,Iowa,,,,,
Infant Mortality - Mother Age 40-44,Kansas,,,,,
Infant Mortality - Mother Age 40-44,Kentucky,,,,,
Infant Mortality - Mother Age 40-44,Louisiana,,13.3,,,
Infant Mortality - Mother Age 40-44,Maine,,,,,
Infant Mortality - Mother Age 40-44,Maryland,,10.5,,,
Infant Mortality - Mother Age 40-44,Massachusetts,,4.1,,,
Infant Mortality - Mother Age 40-44,Michigan,,7.2,,,
Infant Mortality - Mother Age 40-44,Minnesota,,7.2,,,
Infant Mortality - Mother Age 40-44,Mississippi,,,,,
Infant Mortality - Mother Age 40-44,Missouri,,,,,
Infant Mortality - Mother Age 40-44,Montana,,,,,
Infant Mortality - Mother Age 40-44,Nebraska,,,,,
Infant Mortality - Mother Age 40-44,Nevada,,,,,
Infant Mortality - Mother Age 40-44,New Hampshire,,,,,
Infant Mortality - Mother Age 40-44,New Jersey,,4.5,,,
Infant Mortality - Mother Age 40-44,New Mexico,,,,,
Infant Mortality - Mother Age 40-44,New York,,6.2,,,
Infant Mortality - Mother Age 40-44,North Carolina,,10.7,,,
Infant Mortality - Mother Age 40-44,North Dakota,,,,,
Infant Mortality - Mother Age 40-44,Ohio,,8.8,,,
Infant Mortality - Mother Age 40-44,Oklahoma,,,,,
Infant Mortality - Mother Age 40-44,Oregon,,,,,
Infant Mortality - Mother Age 40-44,Pennsylvania,,7.5,,,
Infant Mortality - Mother Age 40-44,Rhode Island,,,,,
Infant Mortality - Mother Age 40-44,South Carolina,,8.8,,,
Infant Mortality - Mother Age 40-44,South Dakota,,,,,
Infant Mortality - Mother Age 40-44,Tennessee,,10.1,,,
Infant Mortality - Mother Age 40-44,Texas,,9.1,,,
Infant Mortality - Mother Age 40-44,Utah,,,,,
Infant Mortality - Mother Age 40-44,Vermont,,,,,
Infant Mortality - Mother Age 40-44,Virginia,,6.9,,,
Infant Mortality - Mother Age 40-44,Washington,,4.7,,,
Infant Mortality - Mother Age 40-44,West Virginia,,,,,
Infant Mortality - Mother Age 40-44,Wisconsin,,8.8,,,
Infant Mortality - Mother Age 40-44,Wyoming,,,,,
Infant Mortality - Mother Age 40-44,United States,,7.2,,,
Infant Mortality - Mother Age 40-44,District of Columbia,,,,,
Infant Mortality - White,Alabama,43.0,6.2,,,
Infant Mortality - White,Alaska,7.0,4.1,,,
Infant Mortality - White,Arizona,23.0,4.9,,,
Infant Mortality - White,Arkansas,47.0,6.9,,,
Infant Mortality - White,California,9.0,4.2,,,
Infant Mortality - White,Colorado,11.0,4.4,,,
Infant Mortality - White,Connecticut,5.0,3.9,,,
Infant Mortality - White,Delaware,49.0,7.0,,,
Infant Mortality - White,Florida,17.0,4.7,,,
Infant Mortality - White,Georgia,36.0,5.4,,,
Infant Mortality - White,Hawaii,6.0,4.0,,,
Infant Mortality - White,Idaho,31.0,5.3,,,
Infant Mortality - White,Illinois,23.0,4.9,,,
Infant Mortality - White,Indiana,46.0,6.7,,,
Infant Mortality - White,Iowa,14.0,4.6,,,
Infant Mortality - White,Kansas,37.0,5.5,,,
Infant Mortality - White,Kentucky,44.0,6.4,,,
Infant Mortality - White,Louisiana,31.0,5.3,,,
Infant Mortality - White,Maine,41.0,6.1,,,
Infant Mortality - White,Maryland,11.0,4.4,,,
Infant Mortality - White,Massachusetts,2.0,3.7,,,
Infant Mortality - White,Michigan,25.0,5.1,,,
Infant Mortality - White,Minnesota,10.0,4.3,,,
Infant Mortality - White,Mississippi,49.0,7.0,,,
Infant Mortality - White,Missouri,37.0,5.5,,,
Infant Mortality - White,Montana,19.0,4.8,,,
Infant Mortality - White,Nebraska,31.0,5.3,,,
Infant Mortality - White,Nevada,14.0,4.6,,,
Infant Mortality - White,New Hampshire,2.0,3.7,,,
Infant Mortality - White,New Jersey,1.0,3.3,,,
Infant Mortality - White,New Mexico,31.0,5.3,,,
Infant Mortality - White,New York,4.0,3.8,,,
Infant Mortality - White,North Carolina,39.0,5.6,,,
Infant Mortality - White,North Dakota,31.0,5.3,,,
Infant Mortality - White,Ohio,40.0,5.9,,,
Infant Mortality - White,Oklahoma,44.0,6.4,,,
Infant Mortality - White,Oregon,19.0,4.8,,,
Infant Mortality - White,Pennsylvania,29.0,5.2,,,
Infant Mortality - White,Rhode Island,25.0,5.1,,,
Infant Mortality - White,South Carolina,25.0,5.1,,,
Infant Mortality - White,South Dakota,17.0,4.7,,,
Infant Mortality - White,Tennessee,41.0,6.1,,,
Infant Mortality - White,Texas,25.0,5.1,,,
Infant Mortality - White,Utah,29.0,5.2,,,
Infant Mortality - White,Vermont,7.0,4.1,,,
Infant Mortality - White,Virginia,19.0,4.8,,,
Infant Mortality - White,Washington,11.0,4.4,,,
Infant Mortality - White,West Virginia,47.0,6.9,,,
Infant Mortality - White,Wisconsin,19.0,4.8,,,
Infant Mortality - White,Wyoming,14.0,4.6,,,
Infant Mortality - White,United States,,4.9,,,
Infant Mortality - White,District of Columbia,,3.5,,,
